date,fruit_type,price
2024-01-01,apple,652
2024-01-02,apple,640
2024-01-03,apple,644
2024-01-04,apple,640
2024-01-05,apple,651
2024-01-06,apple,644
2024-01-07,apple,650
2024-01-08,apple,651
2024-01-09,apple,650
2024-01-10,apple,649
2024-01-11,apple,657
2024-01-12,apple,652
2024-01-13,apple,651
2024-01-14,apple,646
2024-01-15,apple,648
2024-01-16,apple,645
2024-01-17,apple,651
2024-01-18,apple,645
2024-01-19,apple,647
2024-01-20,apple,651
2024-01-21,apple,652
2024-01-22,apple,647
2024-01-23,apple,647
2024-01-24,apple,643
2024-01-25,apple,654
2024-01-26,apple,655
2024-01-27,apple,644
2024-01-28,apple,648
2024-01-29,apple,646
2024-01-30,apple,645
2024-01-31,apple,657
2024-02-01,apple,647
2024-02-02,apple,655
2024-02-03,apple,650
2024-02-04,apple,657
2024-02-05,apple,641
2024-02-06,apple,651
2024-02-07,apple,652
2024-02-08,apple,649
2024-02-09,apple,651
2024-02-10,apple,658
2024-02-11,apple,659
2024-02-12,apple,647
2024-02-13,apple,650
2024-02-14,apple,652
2024-02-15,apple,647
2024-02-16,apple,640
2024-02-17,apple,655
2024-02-18,apple,655
2024-02-19,apple,643
2024-02-20,apple,646
2024-02-21,apple,647
2024-02-22,apple,636
2024-02-23,apple,650
2024-02-24,apple,648
2024-02-25,apple,644
2024-02-26,apple,652
2024-02-27,apple,658
2024-02-28,apple,650
2024-02-29,apple,654
2024-03-01,apple,645
2024-03-02,apple,646
2024-03-03,apple,649
2024-03-04,apple,651
2024-03-05,apple,647
2024-03-06,apple,654
2024-03-07,apple,647
2024-03-08,apple,651
2024-03-09,apple,645
2024-03-10,apple,660
2024-03-11,apple,662
2024-03-12,apple,655
2024-03-13,apple,643
2024-03-14,apple,650
2024-03-15,apple,647
2024-03-16,apple,649
2024-03-17,apple,651
2024-03-18,apple,659
2024-03-19,apple,653
2024-03-20,apple,650
2024-03-21,apple,657
2024-03-22,apple,646
2024-03-23,apple,653
2024-03-24,apple,647
2024-03-25,apple,652
2024-03-26,apple,644
2024-03-27,apple,648
2024-03-28,apple,649
2024-03-29,apple,660
2024-03-30,apple,651
2024-03-31,apple,651
2024-04-01,apple,653
2024-04-02,apple,658
2024-04-03,apple,652
2024-04-04,apple,650
2024-04-05,apple,651
2024-04-06,apple,646
2024-04-07,apple,651
2024-04-08,apple,647
2024-04-09,apple,648
2024-04-10,apple,640
2024-04-11,apple,642
2024-04-12,apple,650
2024-04-13,apple,662
2024-04-14,apple,649
2024-04-15,apple,643
2024-04-16,apple,657
2024-04-17,apple,650
2024-04-18,apple,652
2024-04-19,apple,652
2024-04-20,apple,646
2024-04-21,apple,646
2024-04-22,apple,644
2024-04-23,apple,648
2024-04-24,apple,644
2024-04-25,apple,651
2024-04-26,apple,656
2024-04-27,apple,643
2024-04-28,apple,646
2024-04-29,apple,641
2024-04-30,apple,655
2024-05-01,apple,640
2024-05-02,apple,643
2024-05-03,apple,635
2024-05-04,apple,651
2024-05-05,apple,648
2024-05-06,apple,650
2024-05-07,apple,635
2024-05-08,apple,646
2024-05-09,apple,649
2024-05-10,apple,655
2024-05-11,apple,647
2024-05-12,apple,644
2024-05-13,apple,655
2024-05-14,apple,646
2024-05-15,apple,651
2024-05-16,apple,653
2024-05-17,apple,649
2024-05-18,apple,651
2024-05-19,apple,658
2024-05-20,apple,653
2024-05-21,apple,641
2024-05-22,apple,648
2024-05-23,apple,653
2024-05-24,apple,653
2024-05-25,apple,650
2024-05-26,apple,650
2024-05-27,apple,658
2024-05-28,apple,657
2024-05-29,apple,648
2024-05-30,apple,644
2024-05-31,apple,652
2024-06-01,apple,650
2024-06-02,apple,652
2024-06-03,apple,649
