temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_main,weather_description,Product,Unit_Price,Discount,Total_Price,Quantity
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,0,3.46,0.0,38.06,5610
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,1,1.59,0.0,4.77,7471
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,2,1.75,0.0,5.25,6432
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,3,3.12,0.0,21.84,6208
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,4,2.93,0.0,35.16,6493
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,5,2.31,0.0,9.24,7093
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,6,3.23,0.0,3.23,5595
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,0,3.46,0.0,41.52,5960
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,1,2.03,0.05,3.86,7601
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,2,2.8,0.1,244.44,7716
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,3,3.12,0.0,46.8,7142
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,4,2.59,0.05,110.72,7280
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,5,1.98,0.05,118.5,6310
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,6,3.23,0.0,48.45,6211
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,0,3.46,0.0,48.44,5293
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,1,1.59,0.0,3.18,5693
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,2,2.42,0.1,202.55,6549
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,3,2.35,0.05,71.44,6497
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,4,2.73,0.15,153.15,6089
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,5,2.31,0.0,16.17,5996
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,6,3.23,0.0,45.22,5514
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,0,3.46,0.0,34.6,7485
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,1,1.92,0.05,18.24,6541
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,2,2.57,0.1,117.96,6881
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,3,3.12,0.0,24.96,6742
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,4,2.93,0.0,32.23,6709
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,5,2.31,0.0,27.72,6860
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,6,1.58,0.05,91.56,5795
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,0,3.46,0.0,6.92,6394
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,1,1.59,0.0,19.08,7044
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,2,1.75,0.0,17.5,7106
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,3,3.12,0.0,43.68,7206
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,4,2.93,0.0,8.79,7396
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,5,2.31,0.0,13.86,6245
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,6,2.71,0.1,229.27,6140
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,0,3.46,0.0,20.76,5839
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,1,1.59,0.0,14.31,6334
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,2,1.75,0.0,12.25,6880
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,3,3.12,0.0,3.12,6750
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,4,2.93,0.0,38.09,6070
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,5,2.31,0.0,11.55,5654
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,6,2.89,0.1,163.86,5751
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,0,3.46,0.0,10.38,7116
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,1,1.59,0.0,1.59,7145
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,2,2.44,0.1,208.62,7342
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,3,3.12,0.0,31.2,6420
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,4,2.93,0.0,11.72,6785
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,5,2.31,0.0,30.03,6721
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,6,1.79,0.1,30.61,7514
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,0,3.46,0.0,48.44,6537
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,1,2.31,0.1,174.64,6958
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,2,1.75,0.0,10.5,6092
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,3,4.36,0.1,317.84,6802
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,4,2.93,0.0,14.65,7509
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,5,2.31,0.0,18.48,5892
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,6,3.23,0.0,48.45,5721
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,0,2.55,0.05,109.01,6016
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,1,1.59,0.0,4.77,7129
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,2,3.02,0.05,31.56,9209
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,3,3.12,0.0,21.84,5563
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,4,2.93,0.0,29.3,7353
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,5,2.31,0.0,30.03,6920
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,6,2.03,0.05,36.64,6581
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,0,3.46,0.0,6.92,6806
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,1,1.59,0.0,22.26,6165
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,2,1.75,0.0,10.5,6075
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,3,2.82,0.1,162.43,6805
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,4,2.48,0.05,61.26,6410
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,5,2.31,0.0,11.55,6299
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,6,1.59,0.05,31.72,6337
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,0,3.46,0.0,41.52,6059
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,1,1.41,0.05,32.15,6404
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,2,1.75,0.0,12.25,6272
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,3,3.12,0.0,46.8,7670
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,4,4.28,0.1,373.64,6157
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,5,2.31,0.0,13.86,7661
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,6,2.95,0.15,193.08,6093
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,0,3.62,0.1,247.61,6783
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,1,1.59,0.0,6.36,6909
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,2,1.75,0.0,8.75,7299
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,3,3.12,0.0,9.36,6574
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,4,2.93,0.0,2.93,8046
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,5,2.31,0.0,16.17,7254
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,6,3.23,0.0,38.76,7402
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,0,3.46,0.0,41.52,6039
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,1,2.31,0.15,196.35,7299
