temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_main,weather_description,Product,Unit_Price,Discount,Total_Price,Quantity,cpi
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,0,3.46,0.0,38.06,5610,101.0
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,1,1.59,0.0,4.77,7471,101.0
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,2,1.75,0.0,5.25,6432,101.0
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,3,3.12,0.0,21.84,6208,101.0
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,4,2.93,0.0,35.16,6493,101.0
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,5,2.31,0.0,9.24,7093,101.0
274.84,274.13,273.16,274.18,275.89,1005,95,1.61,184,75,0,0,6,3.23,0.0,3.23,5595,101.0
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,0,3.46,0.0,41.52,5960,101.0
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,1,2.03,0.05,3.86,7601,101.0
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,2,2.8,0.1,244.44,7716,101.0
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,3,3.12,0.0,46.8,7142,101.0
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,4,2.59,0.05,110.72,7280,101.0
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,5,1.98,0.05,118.5,6310,101.0
273.85,272.89,272.16,272.58,275.11,1013,93,1.52,261,63,1,1,6,3.23,0.0,48.45,6211,101.0
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,0,3.46,0.0,48.44,5293,101.0
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,1,1.59,0.0,3.18,5693,101.0
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,2,2.42,0.1,202.55,6549,101.0
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,3,2.35,0.05,71.44,6497,101.0
